Wall time,Step,Value
1594826988.2992926,268,0.0
1594827028.9091442,10365,0.0
1594827069.7761464,20400,0.0
1594827114.5732489,30473,0.0
1594827159.013971,40597,0.0
1594827203.8073583,50733,0.0
1594827247.7400324,60871,0.0
1594827290.3490794,70885,0.0
1594827331.4658535,80920,0.0
1594827375.1062343,90982,0.0
1594827419.4108975,101078,0.0
1594827462.1351182,111214,0.0
1594827504.0459728,121254,0.0
1594827544.280454,131380,0.0
1594827586.9252539,141436,0.0
1594827627.1671631,151480,0.0
1594827668.3913994,161573,0.0
1594827709.7561429,171701,0.0
1594827750.6097004,181773,0.0
1594827793.7186685,191900,0.0
1594827835.5590749,202026,0.0
1594827875.450088,212139,0.0
1594827910.1810083,222266,0.0
1594827949.7978945,232355,0.0
1594827991.597985,242496,0.0
1594828032.6542492,252581,0.0
1594828074.6935313,262696,0.0
1594828116.8621776,272755,0.0
1594828159.3500752,282874,0.0
1594828199.881183,292922,0.0
1594828241.1458786,302970,0.0
1594828284.0253606,313017,0.0357142873108387
1594828326.4404745,323121,0.0
1594828367.9051766,333142,0.0
1594828409.2321048,343265,0.0
1594828449.7845573,353366,0.0
1594828491.9056332,363490,0.0357142873108387
1594828531.6030111,373495,0.0
1594828573.1432345,383551,0.0
1594828614.4578996,393582,0.0
1594828654.9607594,403666,0.0
1594828694.423092,413742,0.0
1594828740.9307227,423805,0.0357142873108387
1594828811.7218614,433839,0.0357142873108387
1594828848.0168242,443976,0.0
1594828889.0639772,454041,0.0
1594828926.7690563,464116,0.0
1594828968.139695,474154,0.0
1594829008.302688,484197,0.0
1594829048.3025017,494257,0.0
1594829088.946877,504357,0.0714285746216774
1594829128.8352041,514464,0.0
1594829170.809457,524572,0.0
1594829211.6635606,534592,0.0357142873108387
1594829251.3330238,544677,0.0357142873108387
1594829292.1235616,554741,0.0
1594829332.398041,564879,0.0357142873108387
1594829373.3946462,575007,0.0
1594829415.9825516,585108,0.0
1594829457.2161226,595211,0.0357142873108387
1594829499.6439698,605337,0.0357142873108387
1594829541.7380607,615454,0.0357142873108387
1594829582.9610364,625477,0.0357142873108387
1594829623.0729089,635561,0.0
1594829661.283326,645594,0.0
1594829695.9969442,655606,0.0
1594829733.7775495,665735,0.0357142873108387
1594829774.1814876,675804,0.0357142873108387
1594829813.5874307,685863,0.0357142873108387
1594829853.886571,695906,0.0357142873108387
1594829894.2768302,705919,0.0714285746216774
1594829935.342386,716032,0.0
1594829974.7308624,726100,0.0357142873108387
1594830015.8554232,736174,0.0
1594830056.4863892,746272,0.0
1594830096.2544985,756301,0.0
1594830137.762434,766373,0.0357142873108387
1594830179.2092664,776492,0.1071428582072258
1594830219.3420372,786517,0.0
1594830259.6352623,796595,0.0
1594830300.7465277,806677,0.0
1594830341.2491488,816694,0.0714285746216774
1594830382.034642,826788,0.0714285746216774
1594830422.8001342,836790,0.0357142873108387
1594830464.6366377,846832,0.0
1594830546.498093,856956,0.0
1594830581.5266538,867021,0.1071428582072258
1594830620.5373445,877140,0.0
1594830660.1609101,887201,0.0
1594830703.0199707,897232,0.0357142873108387
1594830744.6290865,907379,0.0
1594830785.4064462,917489,0.0
1594830826.8957772,927578,0.0714285746216774
1594830869.0028284,937608,0.0
1594830909.6462893,947739,0.0714285746216774
1594830951.3485222,957837,0.0
1594830992.1892657,967964,0.0714285746216774
1594831033.2799149,978098,0.0
1594831073.4056952,988198,0.0
1594831114.9781997,998353,0.0714285746216774
1594831154.5318677,1008450,0.0
1594831194.901446,1018464,0.0
1594831235.738964,1028551,0.0
1594831276.40052,1038637,0.0357142873108387
1594831316.1389794,1048680,0.0
1594831357.527152,1058804,0.0714285746216774
1594831398.1926425,1068807,0.0357142873108387
1594831438.0995257,1078889,0.0357142873108387
1594831471.8651736,1088920,0.0714285746216774
1594831510.0285752,1098943,0.0
1594831550.2187204,1109052,0.0357142873108387
1594831590.4030333,1119120,0.0
1594831632.4945433,1129232,0.0
1594831673.7533047,1139264,0.0357142873108387
1594831715.1644387,1149264,0.0
1594831755.5243485,1159270,0.0
1594831795.9939144,1169293,0.0357142873108387
1594831837.100169,1179360,0.0
1594831878.68821,1189453,0.0
1594831918.7734752,1199505,0.0714285746216774
1594831960.039752,1209572,0.0357142873108387
1594832001.078681,1219641,0.0
1594832042.0055676,1229732,0.0
1594832083.1185174,1239865,0.0357142873108387
1594832123.346653,1249885,0.0
1594832165.5050712,1259900,0.0
1594832207.034352,1269921,0.0
1594832277.561607,1280062,0.0
1594832324.2568958,1290069,0.0357142873108387
1594832359.2483668,1300124,0.0
1594832400.3412929,1310161,0.0
1594832441.3850548,1320217,0.0357142873108387
1594832480.2289383,1330281,0.0714285746216774
1594832521.6127875,1340386,0.0714285746216774
1594832563.3075542,1350547,0.0357142873108387
1594832602.174574,1360595,0.0
1594832642.7897696,1370735,0.1071428582072258
1594832684.2145612,1380820,0.0714285746216774
1594832724.3310788,1390827,0.0714285746216774
1594832766.3801801,1400832,0.0
1594832806.8381834,1410863,0.0357142873108387
1594832846.8420646,1420961,0.0
1594832889.2389832,1431050,0.0
1594832929.5259514,1441117,0.0714285746216774
1594832970.9194577,1451251,0.0357142873108387
1594833012.6152976,1461389,0.1428571492433548
1594833052.5444407,1471466,0.0714285746216774
1594833093.6664042,1481472,0.1071428582072258
1594833134.4650648,1491591,0.0714285746216774
1594833174.5136266,1501649,0.1071428582072258
1594833213.8233416,1511723,0.0714285746216774
1594833247.2409172,1521841,0.0
1594833284.439665,1531848,0.0
1594833325.4289563,1541998,0.0714285746216774
1594833366.7003014,1552114,0.1428571492433548
1594833407.023699,1562239,0.0357142873108387
1594833447.3146765,1572281,0.0714285746216774
1594833488.8984082,1582417,0.0357142873108387
1594833529.7826753,1592527,0.0714285746216774
1594833569.9211662,1602579,0.1071428582072258
1594833610.384177,1612679,0.0357142873108387
1594833652.3979084,1622771,0.1428571492433548
1594833694.204754,1632843,0.0357142873108387
1594833735.9748683,1642965,0.1071428582072258
1594833775.816095,1653098,0.1785714328289032
1594833815.8922884,1663168,0.0714285746216774
1594833857.010474,1673260,0.0357142873108387
1594833898.2285454,1683364,0.0357142873108387
1594833938.9283016,1693444,0.0714285746216774
1594834003.3081186,1703448,0.0357142873108387
1594834061.0480115,1713511,0.0357142873108387
1594834095.644212,1723650,0.1428571492433548
1594834132.177254,1733651,0.0357142873108387
1594834171.9225795,1743672,0.0357142873108387
1594834212.427056,1753734,0.0357142873108387
1594834253.8829675,1763799,0.1428571492433548
1594834294.6971297,1773871,0.0714285746216774
1594834336.1548915,1783919,0.1785714328289032
1594834376.4785073,1793980,0.0357142873108387
1594834416.230498,1804066,0.0714285746216774
1594834458.2454698,1814130,0.1785714328289032
1594834499.658948,1824234,0.1428571492433548
1594834541.2181177,1834344,0.0357142873108387
1594834580.5860395,1844459,0.0357142873108387
1594834622.35181,1854617,0.1071428582072258
1594834662.3664606,1864690,0.0714285746216774
1594834701.890665,1874717,0.0357142873108387
1594834741.9508526,1884832,0.0
1594834782.3938506,1894872,0.0714285746216774
1594834822.838081,1905021,0.1428571492433548
1594834863.02994,1915035,0.1071428582072258
1594834903.5343237,1925130,0.0
1594834944.2294075,1935147,0.1428571492433548
1594834982.209748,1945278,0.0714285746216774
1594835016.9271958,1955334,0.1428571492433548
1594835054.7637653,1965353,0.0
1594835094.4067435,1975378,0.0714285746216774
1594835133.8742878,1985403,0.1071428582072258
1594835173.6250741,1995470,0.0714285746216774
1594835213.3965633,2005554,0.1428571492433548
1594835253.1959004,2015641,0.25
1594835292.7753546,2025707,0.25
1594835331.1640162,2035718,0.0357142873108387
1594835371.534881,2045734,0.0714285746216774
1594835412.0531626,2055877,0.1071428582072258
1594835452.4612691,2065980,0.1428571492433548
1594835491.573011,2075994,0.0357142873108387
1594835534.3993433,2086104,0.1071428582072258
1594835574.499116,2096233,0.0
1594835614.6274872,2106248,0.1785714328289032
1594835656.258267,2116297,0.0357142873108387
1594835696.8078167,2126326,0.0714285746216774
1594835779.722719,2136417,0.1071428582072258
1594835821.1804676,2146488,0.1071428582072258
1594835855.7045777,2156613,0.0357142873108387
1594835891.4850054,2166717,0.1071428582072258
1594835931.7400587,2176803,0.0357142873108387
1594835971.8168702,2186850,0.0714285746216774
1594836011.829807,2196952,0.0714285746216774
1594836052.428452,2206952,0.1428571492433548
1594836091.7762218,2217017,0.2142857164144516
1594836132.9430075,2227084,0.1785714328289032
1594836171.5134153,2237180,0.1785714328289032
1594836210.8227515,2247187,0.1428571492433548
1594836251.3014808,2257336,0.1071428582072258
1594836291.4150567,2267417,0.1071428582072258
1594836331.1676588,2277490,0.25
1594836370.8812609,2287599,0.0357142873108387
1594836410.7031865,2297688,0.0714285746216774
1594836451.6793368,2307769,0.1428571492433548
1594836492.866706,2317917,0.0714285746216774
1594836534.1679041,2327922,0.1785714328289032
1594836575.7433116,2337933,0.0714285746216774
1594836616.0608463,2348018,0.1785714328289032
1594836655.1061454,2358123,0.0714285746216774
1594836696.027081,2368197,0.0714285746216774
1594836737.252221,2378269,0.1785714328289032
1594836773.8065252,2388372,0.25
1594836808.3798254,2398467,0.25
1594836849.4525108,2408527,0.1428571492433548
1594836890.1361403,2418617,0.0357142873108387
1594836931.5663035,2428750,0.2142857164144516
1594836972.5551298,2438884,0.1071428582072258
1594837013.3281538,2448935,0.25
1594837054.007251,2459044,0.1428571492433548
1594837095.2631047,2469148,0.1071428582072258
1594837134.0424616,2479255,0.1428571492433548
1594837174.097806,2489281,0.1428571492433548
1594837215.5416949,2499399,0.1785714328289032
1594837255.732976,2509480,0.25
1594837296.5016057,2519559,0.1071428582072258
1594837337.8022974,2529651,0.2857142984867096
1594837377.4899762,2539737,0.2142857164144516
1594837416.9461029,2549778,0.2142857164144516
1594837500.2488236,2559903,0.3928571343421936
1594837541.1610003,2570060,0.1428571492433548
1594837578.484985,2580119,0.2857142984867096
1594837612.9006019,2590145,0.2142857164144516
1594837650.6736605,2600293,0.1785714328289032
1594837690.376796,2610404,0.2857142984867096
1594837729.9575577,2620491,0.2142857164144516
1594837770.100016,2630607,0.1428571492433548
1594837810.2784622,2640726,0.25
1594837850.0758865,2650804,0.25
1594837891.8580923,2660968,0.2142857164144516
1594837930.8687105,2671025,0.1071428582072258
1594837970.7858667,2681057,0.2142857164144516
1594838010.536764,2691198,0.1428571492433548
1594838052.3446,2701243,0.3214285671710968
1594838091.936804,2711261,0.25
1594838132.6816022,2721435,0.2857142984867096
1594838172.8303864,2731476,0.2857142984867096
1594838212.3050108,2741524,0.1785714328289032
1594838251.4027321,2751642,0.1785714328289032
1594838291.077555,2761690,0.0714285746216774
1594838330.6043196,2771805,0.1428571492433548
1594838370.9758878,2781977,0.1785714328289032
1594838412.2496026,2792016,0.25
1594838453.1624992,2802120,0.1785714328289032
